#  Table wf2f814wsys.tab  Mon 12:21:54 02-Jun-97
#
#      WAVELENGTH      THROUGHPUT
#       angstroms                
#
            1850.     2.335077E-9
         1851.651     4.244296E-8
         1853.301     8.289276E-8
         1854.956     1.238035E-7
         1856.611     1.650445E-7
         1858.267     2.066749E-7
         1859.925     2.487214E-7
         1861.584     2.169411E-7
         1863.246     1.813115E-7
         1864.909     1.453322E-7
         1866.572     1.090284E-7
         1868.237     7.237199E-8
         1869.904     3.534215E-8
         1871.573     2.867791E-8
         1873.242     2.383231E-8
         1874.913     1.893966E-8
         1876.585     1.399939E-8
          1878.26     9.007611E-9
         1879.937     3.966558E-9
         1881.613     8.455562E-9
         1883.292     1.335972E-8
         1884.973     1.830723E-8
         1886.654     2.329246E-8
         1888.338     2.832168E-8
         1890.023     3.325361E-8
         1891.709     2.817572E-8
         1893.396     2.305424E-8
         1895.086     1.788643E-8
         1896.775     1.268152E-8
         1898.469     7.423183E-9
         1900.163     2.637589E-9
         1901.857     2.647504E-9
         1903.555     2.657445E-9
         1905.254     2.667398E-9
         1906.953     2.677358E-9
         1908.655     2.687335E-9
         1910.357     2.134567E-8
         1912.061     1.107269E-7
         1913.768     2.009091E-7
         1915.476     2.918501E-7
         1917.184     3.834928E-7
         1918.894     4.758977E-7
         1920.606     5.068065E-7
          1922.32     4.237235E-7
         1924.035     3.399298E-7
         1925.752     2.554658E-7
          1927.47     1.702392E-7
         1929.189     8.433877E-8
          1930.91     3.998331E-8
         1932.634     3.306207E-8
         1934.358     2.608166E-8
         1936.084     1.904642E-8
         1937.811     1.195074E-8
          1939.54     4.790899E-9
          1941.27     1.437600E-8
         1943.003     3.016414E-8
         1944.737     4.608504E-8
          1946.47     6.211866E-8
         1948.207     7.830490E-8
         1949.947     9.463419E-8
         1951.685     1.238401E-7
         1953.427     1.537300E-7
         1955.171     1.838664E-7
         1956.913     2.142134E-7
          1958.66     2.448463E-7
         1960.408     2.580059E-7
         1962.157     2.128200E-7
         1963.908     1.672194E-7
         1965.658     1.212895E-7
         1967.413     7.491678E-8
         1969.169     2.815142E-8
         1970.925     5.641125E-9
         1972.684     5.163270E-9
         1974.444     4.681569E-9
         1976.205     4.195717E-9
         1977.969     3.705122E-9
         1979.734     3.210925E-9
           1981.5     3.237363E-8
         1983.268     6.709070E-8
         1985.037     1.020754E-7
         1986.809     1.373671E-7
         1988.581     1.729252E-7
         1990.355     1.957566E-7
         1992.131     1.664933E-7
         1993.908     1.369838E-7
         1995.688     1.071904E-7
         1997.467     7.720480E-8
          1999.25     4.693381E-8
         2001.034     3.334510E-8
         2002.818     3.198078E-8
         2004.606     3.059973E-8
         2006.396     2.920516E-8
         2008.184     2.779808E-8
         2009.976     2.637488E-8
         2011.769     4.941337E-8
         2013.565     7.301411E-8
         2015.362     9.684089E-8
         2017.158     1.208636E-7
         2018.958     1.451421E-7
          2020.76     1.624285E-7
         2022.563     1.699300E-7
         2024.368     1.775026E-7
         2026.173     1.851366E-7
         2027.982     1.928426E-7
         2029.791     2.006109E-7
         2031.602     1.710953E-7
         2033.414     1.364096E-7
         2035.228     1.013946E-7
         2037.044     6.602725E-8
         2038.861     3.034878E-8
         2040.681     1.238031E-8
         2042.502     2.460915E-8
         2044.324     3.694392E-8
         2046.147     4.939081E-8
         2047.974     6.195958E-8
           2049.8     7.463478E-8
          2051.63     6.719456E-8
         2053.461     5.719162E-8
         2055.291     4.710753E-8
         2057.125     3.691905E-8
         2058.961     2.663644E-8
         2060.798     2.207645E-8
         2062.637     2.507726E-8
         2064.477     2.810236E-8
         2066.318     3.115345E-8
         2068.164     3.423473E-8
         2070.007     3.732242E-8
         2071.855     3.666234E-8
         2073.704     3.599562E-8
         2075.553     3.532258E-8
         2077.405     3.464283E-8
         2079.259     3.395571E-8
         2081.113     3.794661E-8
         2082.971     4.510911E-8
         2084.829     5.232724E-8
         2086.688     5.960494E-8
          2088.55     6.694829E-8
         2090.414     7.274215E-8
         2092.279     7.292136E-8
         2094.145     7.310039E-8
         2096.014     7.327939E-8
         2097.885     7.345827E-8
         2099.756     7.363685E-8
          2101.63     6.733790E-8
         2103.503     6.002055E-8
         2105.381     5.263513E-8
          2107.26     4.518806E-8
         2109.139     3.768488E-8
         2111.022     3.121750E-8
         2112.906     2.562987E-8
         2114.789     2.000544E-8
         2116.677     1.432945E-8
         2118.564     8.612687E-9
         2120.455     5.222637E-9
         2122.348     9.325972E-9
         2124.241     1.345665E-8
         2126.135     1.761849E-8
         2128.033     2.181324E-8
         2129.932     2.603944E-8
         2131.832     2.494327E-8
         2133.734     2.364042E-8
         2135.637     2.232806E-8
         2137.544     2.100427E-8
          2139.45     1.967704E-8
         2141.359     4.530654E-8
          2143.27     8.210095E-8
         2145.182     1.191471E-7
         2147.096     1.564839E-7
         2149.011     1.940697E-7
         2150.929     1.958656E-7
         2152.848     1.591452E-7
         2154.768     1.221658E-7
         2156.692     8.487898E-8
         2158.615     4.740198E-8
         2160.541     1.943881E-8
         2162.469     1.653925E-8
         2164.397     1.362412E-8
          2166.33     1.068408E-8
         2168.263     7.726089E-9
         2170.196     5.083127E-9
         2172.133     5.360807E-9
          2174.07     5.639915E-9
         2176.011     5.920882E-9
         2177.953     6.203503E-9
         2179.895     6.487568E-9
          2181.84     6.177816E-9
         2183.787     5.832038E-9
         2185.735     5.484441E-9
         2187.686     5.134668E-9
         2189.637     4.783105E-9
          2191.59     4.944631E-9
         2193.546     5.225173E-9
         2195.503     5.507077E-9
         2197.462     5.790241E-9
         2199.423     6.075023E-9
         2201.385     6.341481E-9
         2203.348     6.603031E-9
         2205.315     6.868339E-9
         2207.283     7.137228E-9
         2209.252     7.409543E-9
         2211.222     1.060131E-8
         2213.196     1.564568E-8
          2215.17     2.076331E-8
         2217.147     2.596216E-8
         2219.125     3.123884E-8
         2221.104     3.137898E-8
         2223.086     2.735345E-8
         2225.071     2.326284E-8
         2227.055     1.911702E-8
         2229.042     1.490297E-8
         2231.031     1.212121E-8
         2233.021     1.069679E-8
         2235.015     9.249324E-9
         2237.008     7.782250E-9
         2239.003     6.293530E-9
         2241.002     7.946627E-9
         2242.999     1.278701E-8
         2245.002     1.770204E-8
         2247.005     2.267769E-8
         2249.009     2.772022E-8
         2251.016     2.904913E-8
         2253.024     2.668021E-8
         2255.033     2.427822E-8
         2257.046     2.184126E-8
         2259.061     1.937090E-8
         2261.075     1.719664E-8
         2263.092     1.528200E-8
         2265.112     1.334070E-8
         2267.134     1.137377E-8
         2269.156     9.382548E-9
         2271.181     8.274850E-9
         2273.207     7.808293E-9
         2275.234     7.335527E-9
         2277.266     6.855951E-9
         2279.296     6.371101E-9
          2281.33     6.223827E-9
         2283.366     6.257936E-9
         2285.402     6.292068E-9
         2287.441     6.326305E-9
         2289.483     6.360605E-9
         2291.525     6.481186E-9
          2293.57     6.632347E-9
         2295.615     6.784715E-9
         2297.663     6.940636E-9
         2299.715     7.098624E-9
         2301.765     1.414425E-8
          2303.82     2.240218E-8
         2305.876     3.075675E-8
         2307.932     3.920332E-8
         2309.992     4.775336E-8
         2312.051     3.998085E-8
         2314.116     3.203866E-8
          2316.18     2.401191E-8
         2318.246     1.589281E-8
         2320.315     9.300463E-9
         2322.385     1.174969E-8
         2324.457     1.422764E-8
         2326.531     1.673123E-8
         2328.606     1.926231E-8
         2330.685     2.021562E-8
         2332.764     1.789001E-8
         2334.845     1.553762E-8
         2336.927     1.315888E-8
         2339.012     1.075342E-8
         2341.101     1.416254E-8
         2343.188     2.287412E-8
         2345.279     3.167949E-8
         2347.372     4.058323E-8
         2349.467     4.957956E-8
         2351.562     5.746170E-8
         2353.661     6.501717E-8
         2355.759     7.263834E-8
         2357.862     8.034598E-8
         2359.966     8.812972E-8
         2362.071     7.396573E-8
         2364.179     5.928074E-8
         2366.288     4.445466E-8
         2368.398     2.947677E-8
         2370.512     2.747045E-8
         2372.628     6.675327E-8
         2374.744     1.063944E-7
         2376.863     1.464455E-7
         2378.983     1.868619E-7
         2381.105     1.849196E-7
          2383.23     1.434023E-7
         2385.357     1.014867E-7
         2387.485     5.919096E-8
         2389.615     1.649441E-8
         2391.747     9.294932E-9
         2393.881     9.995181E-9
         2396.017     1.070203E-8
         2398.154     1.141460E-8
         2400.293     1.192956E-8
         2402.435     1.115823E-8
          2404.58     1.037953E-8
         2406.724     9.594062E-9
         2408.872     8.800807E-9
         2411.022     1.048980E-8
         2413.171     1.494744E-8
         2415.326     1.945187E-8
         2417.479     2.398638E-8
         2419.637     2.856599E-8
         2421.796     4.541612E-8
         2423.957     6.488134E-8
          2426.12     8.452157E-8
         2428.284     1.043129E-7
         2430.451     1.156626E-7
         2432.619     9.415621E-8
         2434.789     7.247151E-8
         2436.962     5.059067E-8
         2439.136     2.853017E-8
         2441.312     1.833615E-8
          2443.49     1.601667E-8
          2445.67     1.367669E-8
         2447.853     1.131717E-8
         2450.036     9.017325E-9
         2452.222     1.127137E-8
         2454.409     1.354309E-8
           2456.6     1.583408E-8
         2458.792     1.814261E-8
         2460.985     2.126800E-8
          2463.18     2.540300E-8
         2465.379     2.957251E-8
         2467.579     3.377341E-8
         2469.778     3.800107E-8
         2471.983     5.469958E-8
          2474.19     7.293163E-8
         2476.396     9.126970E-8
         2478.606     1.097689E-7
         2480.817     1.125812E-7
         2483.029     8.830377E-8
         2485.247     6.380786E-8
         2487.462     3.917115E-8
         2489.682     1.431722E-8
         2491.904     1.130120E-8
         2494.125     1.195391E-8
         2496.353     1.261252E-8
         2498.579     1.327504E-8
         2500.808     1.477954E-8
          2503.04     1.777464E-8
         2505.272     2.078983E-8
         2507.509     2.382946E-8
         2509.745     2.688897E-8
         2511.985     2.488388E-8
         2514.225     2.220820E-8
         2516.468     1.951185E-8
         2518.714     1.679356E-8
         2520.962     1.492363E-8
          2523.21     1.420697E-8
         2525.462     1.348424E-8
         2527.715     1.275637E-8
         2529.971     1.202238E-8
         2532.229     1.908821E-8
         2534.486     2.630069E-8
         2536.748     3.357490E-8
          2539.01     4.083206E-8
         2541.277     4.046197E-8
         2543.545     3.414447E-8
         2545.813     2.780614E-8
         2548.084     2.144370E-8
         2550.358     1.585950E-8
         2552.635     1.457347E-8
         2554.911     1.328338E-8
         2557.191     1.198734E-8
         2559.471     1.068786E-8
         2561.755     2.178267E-8
         2564.042     3.666699E-8
         2566.329     5.159838E-8
         2568.619     6.659253E-8
         2570.908     7.453551E-8
         2573.205     7.170056E-8
           2575.5     6.885807E-8
         2577.797     6.600352E-8
         2580.097     6.317443E-8
         2582.399     6.120472E-8
         2584.704     5.922534E-8
          2587.01     5.723802E-8
         2589.318     5.524340E-8
         2591.629     5.148452E-8
          2593.94     4.697587E-8
         2596.254     4.245013E-8
         2598.573     3.790064E-8
         2600.889     3.303404E-8
          2603.21     2.764629E-8
         2605.532     2.224115E-8
         2607.856     1.681474E-8
         2610.185     1.262258E-8
         2612.512     2.306820E-8
         2614.843     3.356566E-8
         2617.177     4.410382E-8
          2619.51     5.466921E-8
         2621.849     4.875812E-8
         2624.188     3.844262E-8
         2626.528     2.808706E-8
         2628.873     1.768405E-8
         2631.217     1.403844E-8
         2633.566     1.668484E-8
         2635.916     1.934123E-8
         2638.267     2.200618E-8
          2640.62     2.343736E-8
         2642.977     2.138952E-8
         2645.334     1.933456E-8
         2647.695     1.727018E-8
         2650.057     1.583540E-8
         2652.422     4.026610E-8
         2654.788     6.477548E-8
         2657.157     8.939595E-8
         2659.526     1.140813E-7
         2661.899     1.034594E-7
         2664.275     8.392840E-8
         2666.652     6.433132E-8
         2669.031     4.464644E-8
         2671.412     3.378931E-8
         2673.796     2.900035E-8
         2676.181     2.419571E-8
          2678.57     1.936908E-8
          2680.96     1.597524E-8
          2683.35     1.473736E-8
         2685.746     1.349229E-8
          2688.14     1.224448E-8
          2690.54     1.151184E-8
         2692.941     1.257849E-8
         2695.343     1.364853E-8
         2697.748     1.472303E-8
         2700.153     1.566729E-8
         2702.563     1.465345E-8
         2704.975     1.363236E-8
         2707.387     1.260452E-8
         2709.804     1.156855E-8
         2712.222     1.227619E-8
         2714.642     1.314307E-8
         2717.063     1.401565E-8
         2719.486     1.489412E-8
         2721.915     1.841236E-8
         2724.343     2.265872E-8
         2726.772     2.693412E-8
         2729.205     3.123865E-8
          2731.64     3.156496E-8
         2734.078     2.994090E-8
         2736.517     2.830607E-8
         2738.958     2.665965E-8
         2741.402     2.475215E-8
         2743.849     2.264594E-8
         2746.296     2.052633E-8
         2748.747     1.839052E-8
         2751.198     1.824637E-8
         2753.653     2.020079E-8
         2756.111     2.215945E-8
         2758.569     2.412118E-8
         2761.031     2.818026E-8
         2763.495     3.515533E-8
         2765.958     4.213707E-8
         2768.427     4.914207E-8
         2770.898     4.994100E-8
         2773.369     3.983302E-8
         2775.844     2.969743E-8
          2778.32     1.954620E-8
         2780.799     1.465232E-8
          2783.28     2.087331E-8
         2785.764     2.710793E-8
         2788.249     3.335128E-8
         2790.736     3.587966E-8
         2793.227     2.952698E-8
          2795.72     2.316127E-8
         2798.213     1.678626E-8
         2800.709     1.221615E-8
         2803.209     1.222307E-8
         2805.709     1.222997E-8
         2808.213     1.223689E-8
         2810.718     1.323234E-8
         2813.226     1.669646E-8
         2815.736     2.016534E-8
         2818.247     2.364101E-8
         2820.764     2.625586E-8
         2823.278     2.687084E-8
         2825.798     2.748775E-8
          2828.32     2.810583E-8
         2830.843     3.007774E-8
         2833.369     3.475680E-8
         2835.898     3.944511E-8
         2838.426     4.413633E-8
         2840.959     4.399832E-8
         2843.495     3.589991E-8
         2846.031     2.779138E-8
         2848.571     1.966180E-8
         2851.112     2.260648E-8
         2853.655     3.982597E-8
         2856.202     5.708635E-8
         2858.751     7.437779E-8
         2861.301     7.602795E-8
         2863.853     6.261641E-8
         2866.407     4.917992E-8
         2868.965     3.571071E-8
         2871.526     3.025449E-8
         2874.087     3.024531E-8
         2876.652     3.023610E-8
         2879.218     3.022688E-8
         2881.788     3.862192E-8
         2884.358     5.070546E-8
         2886.931     6.281065E-8
         2889.507     7.494321E-8
         2892.084     7.219333E-8
         2894.666     6.590816E-8
         2897.248     5.961557E-8
         2899.832     5.331318E-8
         2902.421     4.305065E-8
          2905.01     3.254663E-8
         2907.601     2.206157E-8
         2910.198     1.325547E-8
          2912.79     2.471744E-8
         2915.392     3.618554E-8
         2917.992     4.761652E-8
         2920.594     5.836734E-8
         2923.203     6.688968E-8
         2925.807     7.537421E-8
          2928.42     8.386137E-8
         2931.033     8.170249E-8
         2933.646     6.333028E-8
         2936.266     4.496266E-8
         2938.885     2.665639E-8
         2941.506     2.845965E-8
         2944.131     4.512252E-8
         2946.757     6.173953E-8
